run_id, epoch_idx, optimizer_name, batch_size, lr, ta, tl, va, vl
mlp_1x512_bs32_adam_lr0_01,7,adam,32,0.01,0.5321,1.4029,0.6853,0.9789
mlp_1x512_bs32_adam_lr0_01,8,adam,32,0.01,0.5233,1.4211,0.6893,0.9707
mlp_1x512_bs32_adam_lr0_01,9,adam,32,0.01,0.5271,1.417,0.7033,0.9542
mlp_1x512_bs32_adam_lr0_01,10,adam,32,0.01,0.5206,1.4279,0.694,0.9611
mlp_1x512_bs32_adam_lr0_01,11,adam,32,0.01,0.5238,1.4274,0.6807,1.0084
mlp_1x512_bs32_adam_lr0_01,12,adam,32,0.01,0.5289,1.4074,0.686,0.9607
mlp_1x512_bs32_adam_lr0_01,13,adam,32,0.01,0.5213,1.4121,0.6993,0.9123
mlp_1x512_bs32_adam_lr0_01,14,adam,32,0.01,0.5224,1.4286,0.6973,0.9441
mlp_1x512_bs32_sgd_lr0_01,1,sgd,32,0.01,0.3905,1.9009,0.616,1.1468
mlp_1x512_bs32_sgd_lr0_01,2,sgd,32,0.01,0.5184,1.4797,0.7207,0.8956
mlp_1x512_bs32_sgd_lr0_01,3,sgd,32,0.01,0.5748,1.2809,0.7413,0.803
mlp_1x512_bs32_sgd_lr0_01,4,sgd,32,0.01,0.6094,1.1821,0.7653,0.7102
mlp_1x512_bs32_sgd_lr0_01,5,sgd,32,0.01,0.6392,1.0843,0.8087,0.6325
mlp_1x512_bs32_sgd_lr0_01,6,sgd,32,0.01,0.6518,1.0285,0.8093,0.5967
mlp_1x512_bs32_sgd_lr0_01,7,sgd,32,0.01,0.6735,0.9751,0.8293,0.5527
mlp_1x512_bs32_sgd_lr0_01,8,sgd,32,0.01,0.6912,0.93,0.8327,0.5468
mlp_1x512_bs32_sgd_lr0_01,9,sgd,32,0.01,0.6963,0.9034,0.8413,0.5195
mlp_1x512_bs32_sgd_lr0_01,10,sgd,32,0.01,0.6998,0.8804,0.8393,0.5155
mlp_1x512_bs32_sgd_lr0_01,11,sgd,32,0.01,0.7097,0.8558,0.846,0.5014
mlp_1x512_bs32_sgd_lr0_01,12,sgd,32,0.01,0.7207,0.8393,0.8533,0.4738
mlp_1x512_bs32_sgd_lr0_01,13,sgd,32,0.01,0.7327,0.8113,0.8387,0.4819
mlp_1x512_bs32_sgd_lr0_01,14,sgd,32,0.01,0.7328,0.8044,0.8707,0.4523
mlp_1x512_bs32_sgd_lr0_01,15,sgd,32,0.01,0.7358,0.7866,0.8627,0.4648
mlp_1x512_bs32_sgd_lr0_01,16,sgd,32,0.01,0.738,0.7838,0.8653,0.4556
mlp_1x512_bs32_sgd_lr0_01,17,sgd,32,0.01,0.7409,0.7667,0.8733,0.4226
mlp_1x512_bs32_sgd_lr0_01,18,sgd,32,0.01,0.7458,0.7567,0.8673,0.4284
mlp_1x512_bs32_sgd_lr0_01,19,sgd,32,0.01,0.7455,0.7514,0.8833,0.4218
mlp_1x512_bs32_sgd_lr0_01,20,sgd,32,0.01,0.7548,0.7334,0.89,0.397
mlp_1x512_bs32_sgd_lr0_01,21,sgd,32,0.01,0.7592,0.7276,0.886,0.3929
mlp_1x512_bs32_sgd_lr0_01,22,sgd,32,0.01,0.7551,0.7236,0.8793,0.4088
mlp_1x512_bs32_sgd_lr0_01,23,sgd,32,0.01,0.7574,0.7093,0.8827,0.4018
mlp_1x512_bs32_sgd_lr0_01,24,sgd,32,0.01,0.763,0.7112,0.884,0.399
mlp_1x512_bs32_sgd_lr0_01,25,sgd,32,0.01,0.7651,0.7079,0.8853,0.3916
mlp_1x512_bs32_adam_lr0_001,1,adam,32,0.001,0.4276,1.8218,0.6193,1.2413
mlp_1x512_bs32_adam_lr0_001,2,adam,32,0.001,0.5498,1.4157,0.7187,0.9714
mlp_1x512_bs32_adam_lr0_001,3,adam,32,0.001,0.5949,1.2549,0.758,0.8481
mlp_1x512_bs32_adam_lr0_001,4,adam,32,0.001,0.625,1.1537,0.78,0.7669
mlp_1x512_bs32_adam_lr0_001,5,adam,32,0.001,0.644,1.0919,0.794,0.7182
mlp_1x512_bs32_adam_lr0_001,6,adam,32,0.001,0.6644,1.0404,0.8013,0.6818
mlp_1x512_bs32_adam_lr0_001,7,adam,32,0.001,0.6733,0.9979,0.8233,0.6293
mlp_1x512_bs32_adam_lr0_001,8,adam,32,0.001,0.6844,0.9633,0.8233,0.6018
mlp_1x512_bs32_adam_lr0_001,9,adam,32,0.001,0.6895,0.9441,0.832,0.5726
mlp_1x512_bs32_adam_lr0_001,10,adam,32,0.001,0.6987,0.9154,0.8247,0.5704
mlp_1x512_bs32_adam_lr0_001,11,adam,32,0.001,0.6995,0.9035,0.8367,0.5512
mlp_1x512_bs32_adam_lr0_001,12,adam,32,0.001,0.7037,0.8949,0.842,0.5306
mlp_1x512_bs32_adam_lr0_001,13,adam,32,0.001,0.7105,0.8761,0.8533,0.5152
mlp_1x512_bs32_adam_lr0_001,14,adam,32,0.001,0.718,0.8504,0.8487,0.4961
mlp_1x512_bs32_adam_lr0_001,15,adam,32,0.001,0.7127,0.8564,0.8633,0.4979
mlp_1x512_bs32_adam_lr0_001,16,adam,32,0.001,0.7211,0.8474,0.8567,0.5014
mlp_1x512_bs32_adam_lr0_001,17,adam,32,0.001,0.7234,0.8308,0.8567,0.4779
mlp_1x512_bs32_adam_lr0_001,18,adam,32,0.001,0.7338,0.8178,0.8467,0.4942
mlp_1x512_bs32_adam_lr0_001,19,adam,32,0.001,0.7282,0.8144,0.8713,0.4616
mlp_1x512_bs32_adam_lr0_001,20,adam,32,0.001,0.7334,0.813,0.8693,0.4544
mlp_1x512_bs32_adam_lr0_001,21,adam,32,0.001,0.7308,0.8185,0.8627,0.4546
mlp_1x512_bs32_adam_lr0_001,22,adam,32,0.001,0.7347,0.8103,0.8727,0.4513
mlp_1x512_bs32_adam_lr0_001,23,adam,32,0.001,0.7325,0.7984,0.8693,0.4546
mlp_1x512_bs32_adam_lr0_001,24,adam,32,0.001,0.7365,0.7859,0.8713,0.4478
mlp_1x512_bs32_adam_lr0_001,25,adam,32,0.001,0.7418,0.7763,0.8813,0.4455
mlp_1x512_bs32_adam_lr0_001,26,adam,32,0.001,0.7399,0.7776,0.8687,0.4433
mlp_1x512_bs32_adam_lr0_001,27,adam,32,0.001,0.747,0.7685,0.8733,0.4369
mlp_1x512_bs32_adam_lr0_001,28,adam,32,0.001,0.7522,0.7599,0.8793,0.4286
mlp_1x512_bs32_adam_lr0_001,29,adam,32,0.001,0.7434,0.776,0.8693,0.446
mlp_1x512_bs32_adam_lr0_001,30,adam,32,0.001,0.7487,0.7675,0.8633,0.4543
mlp_1x512_bs32_sgd_lr0_001,1,sgd,32,0.001,0.3257,2.1328,0.51,1.6232
mlp_1x512_bs32_sgd_lr0_001,2,sgd,32,0.001,0.4465,1.7588,0.6133,1.3592
